GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
gimnasio-socio-clase-sqlite-solucion,com.ejemplo.service,SocioService,32,31,1,5,7,9,7,6,6,4
gimnasio-socio-clase-sqlite-solucion,com.ejemplo.service,ClaseService,13,63,1,7,3,15,3,13,2,10
gimnasio-socio-clase-sqlite-solucion,com.ejemplo.repository.sqlite,ClaseSqliteRepository,468,97,10,0,122,37,6,10,1,10
gimnasio-socio-clase-sqlite-solucion,com.ejemplo.repository.sqlite,SocioSqliteRepository,43,48,0,0,12,13,0,9,0,9
gimnasio-socio-clase-sqlite-solucion,com.ejemplo.repository.sqlite,SQLiteConnectionManager,16,3,0,0,5,1,2,1,2,1
gimnasio-socio-clase-sqlite-solucion,com.ejemplo.model,SocioReserva,33,0,0,0,12,0,6,0,6,0
gimnasio-socio-clase-sqlite-solucion,com.ejemplo.model,ClaseReservaSocio,39,0,0,0,14,0,7,0,7,0
gimnasio-socio-clase-sqlite-solucion,com.ejemplo.model,ClaseMonitor,33,0,0,0,12,0,6,0,6,0
gimnasio-socio-clase-sqlite-solucion,com.ejemplo.model,Socio,18,27,0,0,6,10,6,2,6,2
gimnasio-socio-clase-sqlite-solucion,com.ejemplo.model,Clase,64,30,8,0,14,11,13,2,9,2
gimnasio-socio-clase-sqlite-solucion,com.ejemplo.app,Main,4,0,0,0,2,0,2,0,2,0
